"Year","Make","Name","Kilometers_Driven","TransmissionManual","Fuel_econ_kmpl","Engine_cc","Power_bhp","Seats","Owner_TypeSecond","Owner_TypeThird","Owner_TypeFourth & Above","Fuel_TypeDiesel","Fuel_TypeElectric","Fuel_TypePetrol","Price_lakh"
2013,"Honda","Honda Brio S MT",33000,1,19.4,1198,86.8,5,0,0,0,0,0,1,3.24
2015,"Maruti","Maruti Alto 800 VXI",11110,1,22.74,796,47.3,5,0,0,0,0,0,1,2.35
2013,"Mahindra","Mahindra Bolero ZLX",63000,1,15.96,2523,62.1,7,0,0,0,1,0,0,5.5
2015,"Honda","Honda City i VTEC SV",27030,1,17.8,1497,117.3,5,0,0,0,0,0,1,6.75
2015,"Skoda","Skoda Rapid 1.6 MPI Elegance Black Package",19600,1,15,1598,103.52,5,0,0,0,0,0,1,6.15
2016,"Maruti","Maruti Swift VVT VXI",27755,1,22,1197,81.8,5,0,0,0,0,0,1,5.45
2013,"Hyundai","Hyundai EON Magna Plus",20000,1,21.1,814,55.2,5,1,0,0,0,0,1,2.3
2015,"Maruti","Maruti Swift Dzire ZXI",24782,1,20.85,1197,83.14,5,0,0,0,0,0,1,6.21
2014,"Nissan","Nissan Micra XV CVT",47303,0,19.34,1198,76,5,0,0,0,0,0,1,5.21
2008,"Audi","Audi Q7 4.2 FSI quattro",71000,0,8.3,4134,250,7,0,0,0,0,0,1,11.99
2010,"Maruti","Maruti Swift Vdi BSIII",135000,1,17.8,1248,75,5,0,0,0,1,0,0,3.1
2017,"Tata","Tata Xenon XT EX 4X2",1000,1,13.49,2179,138.03,5,0,0,0,1,0,0,7.5
2016,"Volkswagen","Volkswagen Polo 1.5 TDI Comfortline",29000,1,20.14,1498,88.8,5,0,0,0,1,0,0,4
2016,"Honda","Honda City i VTEC SV",36367,1,17.8,1497,117.3,5,0,0,0,0,0,1,7.73
2015,"Honda","Honda City i VTEC V",38000,1,17.4,1497,117.3,5,0,0,0,0,0,1,7.8
2011,"Maruti","Maruti 800 AC BSIII",83969,1,16.1,796,37,4,0,0,0,0,0,1,1.3
2014,"Volkswagen","Volkswagen Polo 1.5 TDI Trendline",82621,1,20.14,1498,88.8,5,0,0,0,1,0,0,4.42
2009,"Chevrolet","Chevrolet Captiva LTZ VCDi",89000,0,12.5,1991,147.9,7,0,0,0,1,0,0,4
2016,"Mahindra","Mahindra XUV500 W10 2WD",54000,1,16,2179,140,7,0,0,0,1,0,0,13
2015,"Honda","Honda Amaze VX i-DTEC",61691,1,25.8,1498,98.6,5,0,0,0,1,0,0,5.38
2011,"Hyundai","Hyundai i20 1.2 Sportz Option",32200,1,17,1197,80,5,1,0,0,0,0,1,3.25
2016,"Maruti","Maruti Wagon R AMT VXI",68630,0,20.51,998,67,5,0,0,0,0,0,1,3.87
2014,"Volkswagen","Volkswagen Jetta 2013-2015 2.0L TDI Highline AT",61000,0,16.96,1968,138.03,5,1,0,0,1,0,0,8.25
2018,"Maruti","Maruti Ciaz 1.4 Zeta",32644,1,20.73,1373,91.1,5,0,0,0,0,0,1,9.28
2012,"Mahindra","Mahindra Scorpio 2009-2014 VLX 4WD AT 7S BSIV",85000,0,11.79,2179,120,7,0,0,0,1,0,0,6.25
2008,"Chevrolet","Chevrolet Aveo U-VA 1.2 LS",75000,1,15.26,1150,74.9,5,1,0,0,0,0,1,1.15
2016,"Maruti","Maruti Ciaz ZXi Option",40347,1,20.73,1373,91.2,5,0,0,0,0,0,1,7.8
2012,"Hyundai","Hyundai i20 1.4 CRDi Asta",60788,1,23,1396,90,5,0,0,0,1,0,0,4.5
2018,"Honda","Honda Jazz 1.2 SV i VTEC",18664,1,18.7,1199,88.7,5,0,0,0,0,0,1,7.56
2017,"Mahindra","Mahindra XUV500 W10 2WD",57847,1,16,2179,140,7,0,0,0,1,0,0,16.08
2012,"Hyundai","Hyundai i20 1.2 Sportz",52237,1,17,1197,80,5,0,0,0,0,0,1,4.5
2012,"Hyundai","Hyundai Verna 1.6 SX",128000,1,22.32,1582,126.32,5,0,0,0,1,0,0,5
2011,"Hyundai","Hyundai i10 Era 1.1",54000,1,19.81,1086,68.05,5,0,0,0,0,0,1,2.2
2014,"Maruti","Maruti Celerio VXI AT",49800,0,23.1,998,67.04,5,0,0,0,0,0,1,4
2012,"Skoda","Skoda Fabia 1.2 TDI Ambition",98000,1,20.86,1199,73.9,5,0,0,0,1,0,0,2.51
2015,"Maruti","Maruti Swift VDI BSIV",60095,1,25.2,1248,74,5,0,0,0,1,0,0,4.75
2008,"Hyundai","Hyundai i10 Magna(O) with Sun Roof",68000,1,16,1086,66.7,5,1,0,0,0,0,1,2
2010,"Hyundai","Hyundai i10 Magna 1.2",81402,1,20.36,1197,78.9,5,1,0,0,0,0,1,2.1
2013,"Ford","Ford Ecosport 1.5 Ti VCT AT Titanium",38000,0,16.5,1499,110,5,0,0,0,0,0,1,6.25
2011,"Mercedes-Benz","Mercedes-Benz E-Class 2009-2013 E350 CDI Avantgarde",92239,0,11.5,2987,210,5,1,0,0,1,0,0,10.6
2017,"Maruti","Maruti Swift VDI BSIV",49224,1,25.2,1248,74,5,0,0,0,1,0,0,6
2004,"Maruti","Maruti 800 Std BSIII",12000,1,16.1,796,37,4,1,0,0,0,0,1,0.45
2010,"Maruti","Maruti Swift Lxi BSIII",54898,1,16.1,1298,88.2,5,0,1,0,0,0,1,2.5
2018,"Hyundai","Hyundai Creta 1.6 SX Plus Dual Tone Petrol",2500,1,15.29,1591,121.3,5,0,0,0,0,0,1,12.75
2017,"BMW","BMW X1 M Sport sDrive 20d",32838,0,17.05,1995,190,5,0,0,0,1,0,0,30.29
2006,"Ford","Ford Ikon 1.3 Flair",27076,1,13.8,1299,70,5,0,0,0,0,0,1,1.6
2017,"Ford","Ford Ecosport 1.5 DV5 MT Titanium Optional",75445,1,22.7,1498,89.84,5,0,0,0,1,0,0,7.54
2015,"Maruti","Maruti Ciaz VXi Plus",46601,1,20.73,1373,91.1,5,0,0,0,0,0,1,6.84
2012,"Volkswagen","Volkswagen Passat Diesel Highline 2.0 TDI",72000,0,18.33,1968,167.7,5,0,0,0,1,0,0,6
2017,"Honda","Honda Jazz 1.5 VX i DTEC",27000,1,27.3,1498,98.6,5,0,0,0,1,0,0,8
2016,"Audi","Audi A4 35 TDI Premium",68193,0,17.11,1968,174.33,5,0,0,0,1,0,0,24.74
2017,"Hyundai","Hyundai Grand i10 CRDi Sportz Celebration Edition",34429,1,24,1120,70,5,0,0,0,1,0,0,5.5
2013,"Mercedes-Benz","Mercedes-Benz GL-Class 2007 2012 350 CDI Luxury",46000,0,12,2987,224,7,0,0,0,1,0,0,36
2013,"Toyota","Toyota Innova 2.5 G (Diesel) 7 Seater",80544,1,12.99,2494,100.6,7,0,0,0,1,0,0,11.79
2011,"Nissan","Nissan Sunny 2011-2014 XL",42000,1,16.95,1498,97.7,5,1,0,0,0,0,1,3
2011,"Skoda","Skoda Laura Ambiente 2.0 TDI CR AT",94821,0,20,1968,138.1,5,1,0,0,1,0,0,6.75
2006,"Chevrolet","Chevrolet Aveo 1.4 LS",1e+05,1,14.49,1399,92.7,5,0,0,0,0,0,1,1.4
2014,"Honda","Honda Mobilio V i DTEC",57000,1,24.2,1498,98.6,7,0,0,0,1,0,0,5.75
2010,"Maruti","Maruti Ritz VDi",79894,1,21.1,1248,73.9,5,0,0,0,1,0,0,3.4
2011,"Volkswagen","Volkswagen Polo Petrol Highline 1.2L",44748,1,16.47,1198,73.9,5,1,0,0,0,0,1,4.89
2013,"Nissan","Nissan Terrano XL",31000,1,13.24,1598,102.5,5,0,0,0,0,0,1,4.95
2013,"Maruti","Maruti A-Star AT Vxi Aktiv",60587,0,16.98,998,66.1,5,1,0,0,0,0,1,3.49
2014,"Honda","Honda City 1.5 S MT",43772,1,17,1497,118,5,0,0,0,0,0,1,6.35
2017,"Hyundai","Hyundai Grand i10 AT Asta",23576,0,18.9,1197,82,5,0,0,0,0,0,1,7.08
2017,"Jaguar","Jaguar XE 2.0L Diesel Prestige",4000,0,13.6,1999,177,5,0,0,0,1,0,0,38
2012,"Mahindra","Mahindra Scorpio VLX",62000,1,12.05,2179,120,8,0,0,0,1,0,0,6.25
2011,"Mercedes-Benz","Mercedes-Benz New C-Class C 200 Kompressor Elegance AT",36000,0,11.74,1796,186,5,0,0,0,0,0,1,10.15
2014,"Skoda","Skoda Superb Elegance 1.8 TSI AT",80000,0,13.7,1798,157.75,5,0,0,0,0,0,1,10.75
2012,"Chevrolet","Chevrolet Cruze LTZ AT",137008,0,18.1,1991,147.9,4,0,0,0,1,0,0,4.65
2010,"Mahindra","Mahindra Scorpio VLX",61001,1,12.05,2179,120,8,0,0,0,1,0,0,4.75
2015,"Hyundai","Hyundai Verna 1.6 SX VTVT (O)",52191,1,17.1,1591,121.3,5,0,0,0,0,0,1,7.78
2016,"Hyundai","Hyundai i20 1.4 Asta CRDi with AVN",77076,1,23,1396,90,5,0,0,0,1,0,0,6.75
2008,"Honda","Honda City ZX CVT",56000,0,16.4,1497,78,5,0,0,0,0,0,1,2.99
2013,"Hyundai","Hyundai i10 Magna",21000,1,20.36,1197,78.9,5,0,0,0,0,0,1,2.35
2013,"Honda","Honda Amaze S i-Dtech",89429,1,25.8,1498,98.6,5,0,0,0,1,0,0,3.65
2012,"Maruti","Maruti Wagon R LXI",45631,1,22.5,998,67.04,5,1,0,0,0,0,1,2.74
2013,"Honda","Honda Brio S MT",53959,1,19.4,1198,86.8,5,0,0,0,0,0,1,3.5
2014,"Hyundai","Hyundai i20 1.2 Sportz Option",55804,1,17,1197,80,5,0,0,0,0,0,1,4.76
2016,"Volkswagen","Volkswagen Vento 2013-2015 1.6 Comfortline",25899,1,15.04,1598,103.2,5,0,0,0,0,0,1,6.2
2008,"Skoda","Skoda Octavia Rider 1.9 TDI MT",82000,1,18.7,1896,66,5,1,0,0,1,0,0,2.35
2014,"Mercedes-Benz","Mercedes-Benz E-Class 2015-2017 E250 CDI Avantgarde",52000,0,13,2143,204,5,0,0,0,1,0,0,24.5
2013,"Renault","Renault Duster Petrol RxL",20000,1,13.24,1598,102.57,5,0,0,0,0,0,1,6
2017,"Hyundai","Hyundai EON Sportz",31829,1,21.1,814,55.2,5,0,0,0,0,0,1,3.65
2016,"Maruti","Maruti Swift VXI",18094,1,18.6,1197,85.8,5,1,0,0,0,0,1,6.26
2015,"Audi","Audi Q5 3.0 TDI Quattro Technology",11964,0,13.22,2967,241.4,5,0,0,0,1,0,0,32.95
2018,"Hyundai","Hyundai i20 1.2 Spotz",22684,1,18.6,1197,81.83,5,0,0,0,0,0,1,7.8
2014,"Honda","Honda Brio S MT",43521,1,19.4,1198,86.8,5,0,0,0,0,0,1,4.25
2014,"Maruti","Maruti Swift Dzire ZXi",49386,1,17.5,1298,85.8,5,0,0,0,0,0,1,4.86
2017,"Hyundai","Hyundai Grand i10 1.2 Kappa Magna",12248,1,18.9,1197,81.86,5,0,0,0,0,0,1,4.9
2014,"Mahindra","Mahindra Xylo E8 ABS BS IV",67771,1,11.68,2498,112,8,0,0,0,1,0,0,7.06
2015,"Volkswagen","Volkswagen Polo GTI",60007,0,17.21,1798,189,4,0,0,0,0,0,1,4.5
2011,"Maruti","Maruti Alto K10 VXI",48624,1,24.07,998,67.1,5,0,0,0,0,0,1,3.22
2014,"Volkswagen","Volkswagen Polo Diesel Comfortline 1.2L",30000,1,22.07,1199,73.9,5,0,0,0,1,0,0,3.25
2016,"Hyundai","Hyundai Grand i10 Sportz",81605,1,18.9,1197,82,5,0,0,0,0,0,1,4.53
2017,"Mercedes-Benz","Mercedes-Benz New C-Class C 220 CDI Elegance AT",32642,0,14.84,2143,170,5,0,0,0,1,0,0,34.78
2014,"Hyundai","Hyundai Verna 1.6 SX VTVT AT",34200,0,15.74,1591,121.3,5,0,0,0,0,0,1,6.5
2010,"Fiat","Fiat Punto EVO 1.2 Emotion",72204,1,15.7,1172,67,5,0,0,0,0,0,1,2.25
2011,"Toyota","Toyota Innova 2.5 VX (Diesel) 8 Seater BS IV",156347,1,12.99,2494,100,8,1,0,0,1,0,0,8
2017,"Mahindra","Mahindra TUV 300 2015-2019 mHAWK100 T8 AMT",47357,0,18.49,1493,100,7,0,0,0,1,0,0,8.37
2015,"Volkswagen","Volkswagen Polo 1.5 TDI Comfortline",61738,1,20.14,1498,88.8,5,0,0,0,1,0,0,5.39
2018,"BMW","BMW 5 Series 520d Luxury Line",32586,0,22.48,1995,190,5,0,0,0,1,0,0,37.3
2018,"Mercedes-Benz","Mercedes-Benz GLE 350d",40129,0,11.57,2987,254.79,5,0,0,0,1,0,0,70.8
2012,"Mercedes-Benz","Mercedes-Benz M-Class ML 350 CDI",51000,0,11.74,2987,254.8,5,0,0,0,1,0,0,22.25
2018,"Hyundai","Hyundai Grand i10 1.2 Kappa Sportz",10393,1,18.9,1197,81.86,5,0,0,0,0,0,1,6.03
2011,"Skoda","Skoda Superb Elegance 1.8 TSI AT",46000,0,13.7,1798,157.75,5,0,0,0,0,0,1,4.9
2013,"Hyundai","Hyundai i10 Sportz AT",21000,0,16.95,1197,78.9,5,0,0,0,0,0,1,3.96
2011,"Hyundai","Hyundai i20 1.4 CRDi Asta",113562,1,23,1396,90,5,0,0,0,1,0,0,4.6
2011,"Mahindra","Mahindra Scorpio VLX",100010,1,12.05,2179,120,8,1,0,0,1,0,0,5.5
2013,"Honda","Honda Brio V MT",63107,1,19.4,1198,86.8,5,0,0,0,0,0,1,3.25
2017,"Hyundai","Hyundai i20 1.2 Magna Executive",58500,1,18.6,1197,81.83,5,0,0,0,0,0,1,6.25
2007,"Ford","Ford Endeavour 4x2 XLT Limited Edition",90000,1,10.9,2499,143,7,0,0,1,1,0,0,3
2011,"Hyundai","Hyundai Verna CRDi SX",108242,1,16.8,1493,110,5,0,0,0,1,0,0,4.25
2011,"Toyota","Toyota Fortuner 3.0 Diesel",146300,1,11.5,2982,171,7,0,0,0,1,0,0,12.25
2011,"BMW","BMW X1 sDrive20d",62943,0,17.05,1995,184,5,1,0,0,1,0,0,10.95
2013,"Toyota","Toyota Fortuner 4x2 AT",65000,0,12.55,2982,168.5,7,0,0,0,1,0,0,16.5
2018,"Honda","Honda Amaze V CVT Petrol",1700,0,19,1199,88.76,5,0,0,0,0,0,1,7.8
2013,"Hyundai","Hyundai i10 Era 1.1",34697,1,19.81,1086,68.05,5,0,0,0,0,0,1,3.7
2012,"Hyundai","Hyundai i20 1.2 Sportz",58000,1,17,1197,80,5,0,0,0,0,0,1,4
2015,"BMW","BMW 3 Series 320d GT Luxury Line",32500,0,19.59,1995,187.74,5,0,0,0,1,0,0,26.75
2016,"Audi","Audi Q3 35 TDI Quattro Premium Plus",58661,0,15.17,1968,181,5,0,0,0,1,0,0,28.03
2017,"Maruti","Maruti Swift VXI Optional",37124,1,20.4,1197,81.8,5,0,0,0,0,0,1,5.44
2017,"Maruti","Maruti Baleno Delta Automatic",44000,0,21.4,1197,83.1,5,0,0,0,0,0,1,6.2
2005,"Hyundai","Hyundai Accent GLE",45200,1,13.2,1495,94,5,0,0,0,0,0,1,0.9
2016,"Maruti","Maruti Ritz LXi",11000,1,18.5,1197,85.8,5,0,0,0,0,0,1,3.95
2011,"Tata","Tata Nano Lx",65000,1,26,624,35,4,1,0,0,0,0,1,0.44
2012,"Ford","Ford Figo Diesel EXI",55005,1,20,1399,68,5,0,0,0,1,0,0,2.75
2011,"Volkswagen","Volkswagen Passat Diesel Highline 2.0 TDI",81650,0,18.33,1968,167.7,5,0,0,0,1,0,0,7.5
2010,"Fiat","Fiat Linea Emotion Pack (Diesel)",160000,1,19,1248,93,5,1,0,0,1,0,0,2.5
2015,"Mahindra","Mahindra Xylo D4",169000,1,14.95,2489,93.7,7,0,0,0,1,0,0,5
2013,"Maruti","Maruti Wagon R VXI",67263,1,18.9,998,67.1,5,0,0,0,0,0,1,3.6
2012,"Toyota","Toyota Etios G Safety",44223,1,17.6,1496,88.7,5,0,0,0,0,0,1,3.99
2015,"Hyundai","Hyundai Grand i10 Sportz",36840,1,18.9,1197,82,5,0,0,0,0,0,1,5.64
2014,"Toyota","Toyota Innova 2.5 VX (Diesel) 8 Seater BS IV",160000,1,12.99,2494,100,8,0,0,0,1,0,0,12
2008,"Tata","Tata Indica V2 DLS TC",133000,1,16.8,1405,62,5,0,0,0,1,0,0,0.7
2015,"BMW","BMW 3 Series 320d Sport Line",69123,0,18.88,1995,184,5,0,0,0,1,0,0,19
2017,"Ford","Ford Endeavour 3.2 Titanium AT 4X4",38000,0,10.91,3198,197,7,0,0,0,1,0,0,30.48
2017,"Maruti","Maruti Ciaz Zeta",5500,1,21.56,1462,103.25,5,0,0,0,0,0,1,8.2
2015,"Ford","Ford Figo 1.5D Titanium Plus MT",1001,1,25.83,1498,99,5,0,0,0,1,0,0,7.55
2007,"Chevrolet","Chevrolet Aveo U-VA 1.2 LS",59000,1,15.26,1150,74.9,5,0,1,0,0,0,1,0.99
2011,"Honda","Honda City 1.5 V AT",78256,0,16.8,1497,118,5,0,0,0,0,0,1,4.15
2016,"Nissan","Nissan Sunny XL",90000,1,16.95,1498,97.6,5,0,0,0,0,0,1,6.2
2016,"Maruti","Maruti Swift Dzire VXI",18000,1,19.1,1197,85.8,5,0,0,0,0,0,1,4.4
2012,"Ford","Ford Figo Diesel Titanium",60000,1,20,1399,68,5,0,0,0,1,0,0,2.1
2011,"Fiat","Fiat Grande Punto 1.3 Emotion (Diesel)",130000,1,20.3,1248,75,5,0,0,0,1,0,0,2.2
2018,"Hyundai","Hyundai Elite i20 Petrol Asta",32851,1,18.6,1197,81.86,5,0,0,0,0,0,1,8.34
2014,"Maruti","Maruti Swift Dzire VDI",32000,1,23.4,1248,74,5,0,0,0,1,0,0,4.35
2014,"Ford","Ford Ecosport 1.5 DV5 MT Titanium",62700,1,22.7,1498,89.84,5,0,0,0,1,0,0,6.8
2010,"Maruti","Maruti Swift Dzire VDi",71000,1,19.3,1248,73.9,5,0,0,0,1,0,0,3.3
2016,"Hyundai","Hyundai Grand i10 Sportz",19947,1,18.9,1197,82,5,0,0,0,0,0,1,5.04
2012,"Ford","Ford Endeavour 3.0L 4X4 AT",91000,0,11.4,2953,153.86,7,0,0,0,1,0,0,9.2
2014,"Volkswagen","Volkswagen Polo Diesel Highline 1.2L",74000,1,22.07,1199,73.9,5,0,0,0,1,0,0,5.7
2018,"Mahindra","Mahindra TUV 300 2015-2019 mHAWK100 T8",55594,1,18.49,1493,100,7,0,0,0,1,0,0,8.48
2013,"BMW","BMW X6 xDrive 40d",58000,0,11.2,2993,306,4,0,0,0,1,0,0,48
2012,"Renault","Renault Duster 110PS Diesel RxZ",110224,1,19.01,1461,108.45,5,0,0,0,1,0,0,6.1
2010,"Maruti","Maruti Wagon R LXI",21002,1,22.5,998,67.04,5,0,0,0,0,0,1,2.75
2017,"Maruti","Maruti Ertiga SHVS VDI",121000,1,24.52,1248,88.5,7,0,0,0,1,0,0,8
2010,"Maruti","Maruti Alto LXi BSIII",73513,1,19.7,796,46.3,5,0,0,0,0,0,1,1.85
2015,"Maruti","Maruti Wagon R AMT VXI Option",34000,0,20.51,998,67,5,0,0,0,0,0,1,3.85
2017,"Maruti","Maruti Eeco 7 Seater Standard",28371,1,15.1,1196,73,7,0,0,0,0,0,1,4.74
2013,"Renault","Renault Duster 110PS Diesel RxL",74755,1,19.6,1461,108.45,5,0,0,0,1,0,0,5.63
2011,"Maruti","Maruti Zen Estilo 1.1 LX BSIII",25805,1,18.2,1061,64,5,0,0,0,0,0,1,2.62
2015,"Renault","Renault Duster Petrol RxL",82603,1,13.06,1598,102.53,5,0,0,0,0,0,1,4.9
2006,"Honda","Honda Civic 2006-2010 1.8 S MT",110000,1,13.5,1799,130,5,0,0,0,0,0,1,2.65
2012,"Mahindra","Mahindra XUV500 W8 2WD",88000,1,16,2179,140,7,0,0,0,1,0,0,5.99
2011,"Mahindra","Mahindra Verito 1.5 D6 BSIV",110000,1,21,1461,64.1,5,1,0,0,1,0,0,2.4
2017,"Renault","Renault KWID Climber 1.0 MT",15000,1,21.7,999,67,5,0,0,0,0,0,1,4.25
2013,"Porsche","Porsche Cayenne Diesel",70000,0,15.15,2967,240,5,0,0,0,1,0,0,40
2008,"Maruti","Maruti Swift DDiS VDI",150000,1,28.4,1248,74,5,1,0,0,1,0,0,2.7
2016,"Datsun","Datsun GO T Option",19000,1,20.63,1198,67,5,0,0,0,0,0,1,2.99
2011,"Hyundai","Hyundai i20 1.2 Magna",37442,1,18.5,1197,80,5,0,0,0,0,0,1,3.4
2016,"BMW","BMW 5 Series 2013-2017 520d Luxury Line",63111,0,18.12,1995,190,5,1,0,0,1,0,0,30.8
2012,"Maruti","Maruti Ertiga ZDI",88000,1,20.77,1248,88.8,7,0,0,0,1,0,0,5.85
2014,"Hyundai","Hyundai Grand i10 Magna",42355,1,18.9,1197,82,5,0,0,0,0,0,1,4
2011,"BMW","BMW 3 Series 330i",75871,0,9.43,2996,254,5,0,0,0,0,0,1,14.12
2011,"Chevrolet","Chevrolet Cruze LTZ",65000,1,17.9,1998,163.7,5,0,0,0,1,0,0,4.55
2015,"Mercedes-Benz","Mercedes-Benz M-Class ML 350 4Matic",69000,0,0,2987,165,5,0,0,0,1,0,0,38
2011,"Maruti","Maruti Ritz LDi",79232,1,21.1,1248,73.9,5,0,0,0,1,0,0,2.9
2007,"Mercedes-Benz","Mercedes-Benz New C-Class C 200 Kompressor Elegance AT",220000,0,11.74,1796,186,5,1,0,0,0,0,1,6
2016,"Hyundai","Hyundai i20 1.2 Magna Executive",28470,1,18.6,1197,81.83,5,0,0,0,0,0,1,6.95
2014,"Hyundai","Hyundai EON 1.0 Kappa Magna Plus Optional",9759,1,20.3,998,68.05,5,0,0,0,0,0,1,2.75
2014,"Maruti","Maruti Swift VDI",75216,1,22.9,1248,74,5,0,0,0,1,0,0,5.1
2017,"Hyundai","Hyundai i20 Sportz 1.2",8000,1,18.6,1197,81.83,5,0,0,0,0,0,1,6.75
2014,"Maruti","Maruti Ritz ZXi",59451,1,18.5,1197,85.8,5,0,0,0,0,0,1,3.69
2013,"Maruti","Maruti Swift VDI",53996,1,22.9,1248,74,5,0,0,0,1,0,0,5.45
2018,"Honda","Honda WRV i-VTEC VX",15135,1,17.5,1199,88.7,5,0,0,0,0,0,1,9.29
2015,"Hyundai","Hyundai Xcent 1.2 Kappa AT S Option",53000,0,16.9,1197,81.86,5,1,0,0,0,0,1,4
2013,"Honda","Honda Amaze E i-Vtech",40000,1,18,1198,86.7,5,0,0,0,0,0,1,2.9
2013,"Hyundai","Hyundai Verna 1.6 SX VTVT (O)",21107,1,17.1,1591,121.3,5,0,0,0,0,0,1,5.25
2014,"Honda","Honda City V MT",56000,1,16.8,1497,116.3,5,0,0,0,0,0,1,5.75
2017,"Hyundai","Hyundai Creta 1.6 SX Plus Dual Tone Petrol",19623,1,15.29,1591,121.3,5,0,0,0,0,0,1,13.12
2014,"Mahindra","Mahindra XUV500 W8 2WD",70963,1,15.1,2179,140,7,0,0,0,1,0,0,7.83
2013,"Toyota","Toyota Innova 2.5 V Diesel 7-seater",51450,1,12.8,2494,102,7,0,0,0,1,0,0,10.4
2012,"Maruti","Maruti Swift VDI",75000,1,22.9,1248,74,5,0,0,0,1,0,0,4.35
2017,"Maruti","Maruti Wagon R VXI AMT",37832,0,22.5,998,67,5,0,0,0,0,0,1,5.23
2016,"Hyundai","Hyundai Grand i10 1.2 Kappa Asta",43041,1,18.9,1197,81.86,5,0,0,0,0,0,1,6.01
2014,"Honda","Honda Amaze VX i-DTEC",97236,1,25.8,1498,98.6,5,0,0,0,1,0,0,4.4
2010,"BMW","BMW 3 Series 320d Highline",83000,0,16.07,1995,181,5,0,0,0,1,0,0,12.75
2011,"Ford","Ford Figo Petrol Titanium",65000,1,15.6,1196,70,5,0,0,0,0,0,1,2.4
2018,"Volkswagen","Volkswagen Ameo 1.2 MPI Trendline",46007,1,17,1198,73.75,5,0,0,0,0,0,1,5.71
2015,"Ford","Ford Ecosport 1.5 DV5 MT Trend",65925,1,22.7,1498,89.84,5,1,0,0,1,0,0,5.49
2004,"Honda","Honda City 1.3 EXI",73500,1,13,1343,90,5,1,0,0,0,0,1,1.3
2014,"Mahindra","Mahindra XUV500 W6 2WD",55000,1,16,2179,140,7,0,0,0,1,0,0,8.5
2012,"Toyota","Toyota Fortuner 4x2 Manual",115000,1,13,2982,168.5,7,0,0,0,1,0,0,12.99
2017,"Hyundai","Hyundai Grand i10 1.2 Kappa Magna",31184,1,18.9,1197,81.86,5,0,0,0,0,0,1,5
2017,"Maruti","Maruti Dzire AMT ZDI Plus",41747,0,28.4,1248,73.75,5,0,0,0,1,0,0,9
2016,"Maruti","Maruti Swift VDI",38143,1,22.9,1248,74,5,0,0,0,1,0,0,5.22
2012,"Volkswagen","Volkswagen Polo Petrol Highline 1.2L",19030,1,16.47,1198,73.9,5,0,0,0,0,0,1,3.8
2019,"Toyota","Toyota Etios Liva 1.2 VX Dual Tone",20877,1,18.16,1197,78.9,5,0,0,0,0,0,1,7.27
2016,"Maruti","Maruti Swift VXI",23555,1,22,1197,81.8,5,0,0,0,0,0,1,5.1
2013,"Mercedes-Benz","Mercedes-Benz E-Class 2009-2013 E250 CDI Elegance",29000,0,14.21,2143,203,5,0,0,0,1,0,0,29
2013,"Maruti","Maruti Wagon R VXI",61000,1,18.9,998,67.1,5,0,0,0,0,0,1,2.9
2012,"Tata","Tata Nano Lx BSIV",4187,1,26,624,35,4,0,0,0,0,0,1,1.38
2011,"Skoda","Skoda Laura 1.8 TSI Ambiente",46000,1,13.4,1798,157.8,5,0,0,0,0,0,1,5.5
2016,"Volkswagen","Volkswagen Polo GT TSI",28000,0,17.21,1197,103.5,5,0,0,0,0,0,1,7.25
2014,"Hyundai","Hyundai Verna 1.6 SX",83558,1,22.32,1582,126.32,5,0,0,0,1,0,0,6.98
2017,"Tata","Tata Bolt Quadrajet XE",40000,1,22.95,1248,74,5,0,0,0,1,0,0,5.25
2013,"Hyundai","Hyundai EON D Lite Plus",36000,1,21.1,814,55.2,5,0,0,0,0,0,1,1.95
2014,"Audi","Audi A4 2.0 TDI 177 Bhp Premium Plus",21000,0,17.11,1968,174.33,5,0,0,0,1,0,0,24.5
2013,"Toyota","Toyota Innova 2.5 GX (Diesel) 7 Seater",62162,1,12.99,2494,100,7,0,0,0,1,0,0,8.31
2012,"Mercedes-Benz","Mercedes-Benz M-Class ML 350 CDI",83000,0,11.74,2987,254.8,5,0,0,0,1,0,0,36
2015,"Hyundai","Hyundai Xcent 1.1 CRDi S",58000,1,24.4,1120,71,5,0,0,0,1,0,0,5.5
2011,"Honda","Honda Accord 2.4 AT",62332,0,11.7,2354,177.6,5,0,0,0,0,0,1,5.89
2016,"Volkswagen","Volkswagen Vento 1.5 TDI Highline",50867,1,20.34,1498,103.2,5,0,0,0,1,0,0,7.95
2010,"Hyundai","Hyundai i20 Sportz Petrol",73000,1,17,1197,80,5,0,0,0,0,0,1,2.75
2012,"Hyundai","Hyundai Elantra CRDi SX",98008,1,22.7,1582,126.24,5,0,0,0,1,0,0,6.25
2015,"Ford","Ford Figo Diesel Titanium",36000,1,20,1399,68.05,5,0,0,0,1,0,0,4.95
2019,"Hyundai","Hyundai i20 1.2 Magna Executive",27339,1,18.6,1197,81.83,5,0,0,0,0,0,1,6.27
2017,"Hyundai","Hyundai Verna 1.6 CRDi SX",25000,1,23.9,1582,126.2,5,0,0,0,1,0,0,8.65
2014,"Hyundai","Hyundai Grand i10 Asta",37000,1,18.9,1197,82,5,0,0,0,0,0,1,3.5
2015,"Audi","Audi Q5 2.0 TDI",56000,0,14.16,1968,174.3,5,0,0,0,1,0,0,35
