"Year","Make","Name","Kilometers_Driven","Age","TransmissionManual","Fuel_econ_kmpl","Engine_cc","Power_bhp","Seats","Owner_TypeSecond","Owner_TypeThird","Owner_TypeFourth & Above","Fuel_TypeDiesel","Fuel_TypeElectric","Fuel_TypePetrol","Price_lakh"
2007,"Mercedes-Benz","Mercedes-Benz New C-Class C 220 CDI Elegance AT",39037,12,0,14.84,2143,170,5,0,0,0,1,0,0,9.25
2013,"Honda","Honda Brio S MT",17003,6,1,19.4,1198,86.8,5,0,0,0,0,0,1,3.15
2008,"Hyundai","Hyundai i10 Magna Optional 1.1L",80400,11,1,16,1086,66.7,5,0,0,0,0,0,1,2.3
2012,"Hyundai","Hyundai Verna 1.6 SX CRDi (O)",75200,7,1,22.32,1582,126.32,5,0,0,0,1,0,0,5.25
2017,"Maruti","Maruti Ciaz VDI SHVS",41217,2,1,28.09,1248,88.5,5,0,0,0,1,0,0,7.4
2006,"Ford","Ford Ikon 1.3 Flair",98293,13,1,13.8,1299,70,5,1,0,0,0,0,1,1.55
2017,"Volkswagen","Volkswagen Polo 1.2 MPI Highline",54000,2,1,16.2,1199,74,5,1,0,0,0,0,1,6
2016,"Honda","Honda Jazz 1.2 V i VTEC",17377,3,1,18.7,1199,88.7,5,0,0,0,0,0,1,5.9
2013,"Honda","Honda Amaze EX i-Dtech",33800,6,1,25.8,1498,98.6,5,1,0,0,1,0,0,4.7
2015,"Hyundai","Hyundai i20 Asta 1.4 CRDi",86157,4,1,22.54,1396,88.73,5,0,0,0,1,0,0,6.5
2012,"Maruti","Maruti Ritz VDi",146824,7,1,21.1,1248,73.9,5,0,0,0,1,0,0,3.55
2014,"Honda","Honda City V MT",55000,5,1,16.8,1497,116.3,5,0,0,0,0,0,1,7.1
2010,"Skoda","Skoda Superb 1.8 TSI MT",53293,9,1,13.14,1798,160,5,0,0,0,0,0,1,6
2017,"Maruti","Maruti Vitara Brezza LDi Option",38000,2,1,24.3,1248,88.5,5,0,0,0,1,0,0,7.99
2009,"Hyundai","Hyundai i20 Asta",64000,10,1,17,1197,80,5,1,0,0,0,0,1,4.1
2017,"Maruti","Maruti Alto K10 VXI AGS",25058,2,0,24.07,998,67.1,5,0,0,0,0,0,1,3.95
2016,"Hyundai","Hyundai EON Era Plus",36700,3,1,21.1,814,55.2,5,0,0,0,0,0,1,4.38
2011,"Hyundai","Hyundai i10 Sportz",35000,8,1,20.36,1197,78.9,5,0,0,0,0,0,1,2.75
2016,"Mercedes-Benz","Mercedes-Benz SLK-Class SLK 350",22732,3,0,18.1,3498,306,2,0,0,0,0,0,1,55.54
2014,"Audi","Audi A6 2.0 TDI Design Edition",48000,5,0,18.53,1968,187.74,5,0,0,0,1,0,0,29
2013,"Ford","Ford EcoSport 1.5 TDCi Titanium",62084,6,1,22.77,1498,98.59,5,0,0,0,1,0,0,6.6
2012,"Volkswagen","Volkswagen Passat Highline DSG",39273,7,0,14.3,1968,140,5,0,0,0,1,0,0,6.99
2017,"Toyota","Toyota Innova Crysta 2.4 ZX MT",64798,2,1,13.68,2393,147.8,7,0,0,0,1,0,0,18.75
2010,"Ford","Ford Figo Diesel ZXI",100002,9,1,20,1399,68,5,0,1,0,1,0,0,1.28
2006,"Chevrolet","Chevrolet Aveo 1.4",78000,13,1,14.49,1399,92.7,5,0,1,0,0,0,1,1.2
2013,"Maruti","Maruti Ritz LXi",57717,6,1,18.5,1197,85.8,5,0,0,0,0,0,1,4.31
2011,"Land","Land Rover Freelander 2 SE",109000,8,0,12.39,2179,147.51,5,0,0,0,1,0,0,16.5
2017,"Hyundai","Hyundai Grand i10 Asta",74515,2,1,18.9,1197,82,5,0,0,0,0,0,1,5.64
2017,"Ford","Ford Endeavour 3.2 Trend AT 4X4",50484,2,0,10.91,3198,197.2,7,0,0,0,1,0,0,31.12
2013,"Audi","Audi Q5 2008-2012 2.0 TDI",13452,6,0,12.8,1968,167.6,5,0,0,0,1,0,0,25.46
2017,"Hyundai","Hyundai Verna 1.6 VTVT",37688,2,1,17.01,1591,121.3,5,0,0,0,0,0,1,7.88
2017,"Mercedes-Benz","Mercedes-Benz E-Class 2015-2017 E250 CDI Avantgarde",34000,2,0,13,2143,204,5,0,0,0,1,0,0,36
2014,"Mercedes-Benz","Mercedes-Benz M-Class ML 350 4Matic",120000,5,0,0,2987,165,5,0,0,0,1,0,0,30
2008,"Maruti","Maruti Swift Dzire ZXi",64000,11,1,17.5,1298,85.8,5,1,0,0,0,0,1,2.85
2011,"Honda","Honda City 1.3 EXI S",1e+05,8,1,13,1343,90,5,0,0,0,0,0,1,3.5
2014,"Renault","Renault Duster 85PS Diesel RxL Optional",75000,5,1,20.46,1461,83.8,5,0,0,0,1,0,0,7.5
2012,"Mercedes-Benz","Mercedes-Benz New C-Class 220 CDI AT",86000,7,0,14.84,2143,170,5,0,0,0,1,0,0,19
2015,"BMW","BMW X5 xDrive 30d Design Pure Experience 5 Seater",69000,4,0,15.97,2993,258,5,0,0,0,1,0,0,54
2015,"Hyundai","Hyundai Xcent 1.2 Kappa SX Option",41721,4,1,19.1,1197,82,5,0,0,0,0,0,1,4.7
2017,"Maruti","Maruti Dzire AMT ZXI Plus",13000,2,0,22,1197,81.8,5,0,0,0,0,0,1,8.5
2013,"BMW","BMW 3 Series 320d Corporate Edition",38998,6,0,16.07,1995,181,4,0,0,0,1,0,0,17
2017,"Maruti","Maruti Alto 800 LXI",54250,2,1,22.74,796,47.3,5,0,0,0,0,0,1,3.51
2013,"Audi","Audi A4 2.0 TDI 177 Bhp Premium Plus",45979,6,0,17.11,1968,174.33,5,1,0,0,1,0,0,19.5
2012,"Mini","Mini Cooper S",37000,7,0,13.6,1598,181,4,1,0,0,0,0,1,17
2015,"Audi","Audi Q7 3.0 TDI Quattro Premium Plus",46983,4,0,12.07,2967,241.4,7,1,0,0,1,0,0,43.35
2012,"Chevrolet","Chevrolet Beat Diesel LT",40700,7,1,25.44,936,57.6,5,0,0,0,1,0,0,2.65
2015,"Maruti","Maruti Wagon R LXI BS IV",43828,4,1,20.51,998,67.04,5,0,0,0,0,0,1,3.52
2016,"Nissan","Nissan Terrano XV Premium 110 PS",53000,3,1,19.01,1461,108.5,5,0,0,0,1,0,0,6.25
2015,"BMW","BMW 3 Series 320d Luxury Plus",1e+05,4,0,18.88,1995,184,5,0,0,0,1,0,0,24.75
2015,"Maruti","Maruti Swift Dzire VXI",19000,4,1,20.85,1197,83.14,5,0,0,0,0,0,1,5.25
2016,"Skoda","Skoda Yeti Elegance 4X2",84000,3,1,17.72,1968,108.5,5,0,0,0,1,0,0,11
2018,"Ford","Ford EcoSport 1.5 Ti VCT AT Titanium",37630,1,0,15.63,1499,110.4,5,0,0,0,0,0,1,9.1
2010,"Hyundai","Hyundai i20 1.2 Magna",67714,9,1,18.5,1197,80,5,0,0,0,0,0,1,3.25
2017,"Maruti","Maruti S Cross DDiS 200 Sigma Option",32000,2,1,15,1248,88.5,5,0,0,0,1,0,0,8.5
2010,"Hyundai","Hyundai Verna Transform VTVT",51000,9,1,16.2,1599,103.2,5,0,0,0,0,0,1,3.1
2015,"BMW","BMW 3 Series 320d Luxury Line",58390,4,0,18.88,1995,184,5,0,0,0,1,0,0,19.86
2017,"Hyundai","Hyundai Grand i10 1.2 CRDi Magna",14000,2,1,24,1186,73.97,5,0,0,0,1,0,0,4.9
2014,"Honda","Honda City i-VTEC V",55818,5,1,17.4,1497,117.3,5,1,0,0,0,0,1,5.7
2012,"Maruti","Maruti Swift VDI BSIV",52241,7,1,25.2,1248,74,5,0,0,0,1,0,0,2.9
2018,"Maruti","Maruti Baleno Zeta 1.3",25433,1,1,27.39,1248,74,5,0,0,0,1,0,0,7.83
2015,"Tata","Tata Safari Storme 2012-2015 LX",40611,4,1,14,2179,138.1,7,0,0,0,1,0,0,8.15
2008,"Hyundai","Hyundai Accent GLS",72000,11,1,13.2,1495,94,5,1,0,0,0,0,1,2
2016,"Maruti","Maruti Swift LDI SP Limited Edition",54631,3,1,25.2,1248,74,5,0,0,0,1,0,0,6.25
2016,"Tata","Tata Nano XTA",24941,3,0,21.9,624,37.48,4,0,0,0,0,0,1,3.19
2017,"Maruti","Maruti Ertiga VDI",63939,2,1,25.47,1248,88.5,7,0,0,0,1,0,0,7.75
2014,"Maruti","Maruti Celerio VXI AMT",35214,5,0,23.1,998,67.04,5,1,0,0,0,0,1,3.2
2015,"Maruti","Maruti Swift VDI BSIV",63000,4,1,25.2,1248,74,5,0,0,0,1,0,0,4.9
2012,"Volkswagen","Volkswagen Vento Petrol Highline",121377,7,1,15.04,1598,103.6,5,0,0,0,0,0,1,3.8
2009,"Volkswagen","Volkswagen Jetta 2007-2011 1.9 Highline TDI",100970,10,0,15.5,1896,105,5,0,0,0,1,0,0,4
2014,"Mini","Mini Cooper 5 DOOR D",60000,5,0,20.7,1496,113.98,5,1,0,0,1,0,0,23.5
2008,"Tata","Tata Indica V2 DLS",77650,11,1,17.2,1396,53.5,5,0,0,0,1,0,0,1.15
2015,"Honda","Honda City i-VTEC CVT VX",18955,4,0,18,1497,117.3,5,0,0,0,0,0,1,10.65
2016,"Jaguar","Jaguar XF 2.2 Litre Luxury",47877,3,0,16.36,2179,187.7,5,0,0,0,1,0,0,35.68
2017,"Mercedes-Benz","Mercedes-Benz E-Class 2015-2017 E250 Edition E",43368,2,0,15,2143,204,5,0,0,0,1,0,0,31.94
2011,"Chevrolet","Chevrolet Cruze LTZ",73000,8,1,18.3,1991,147.9,5,0,1,0,1,0,0,4.2
2015,"Mahindra","Mahindra XUV500 W8 2WD",72007,4,1,15.1,2179,140,7,0,0,0,1,0,0,9.9
2014,"Mercedes-Benz","Mercedes-Benz New C-Class C 200 CGI Avantgarde",56778,5,0,11.74,1796,186,5,0,0,0,0,0,1,15.46
2018,"Honda","Honda Jazz VX",20024,1,1,18.2,1199,88.7,5,0,0,0,0,0,1,8.46
2013,"Toyota","Toyota Etios G",42103,6,1,16.78,1496,88.73,5,0,0,0,0,0,1,3.25
2012,"Maruti","Maruti Alto LXi BSIII",67147,7,1,19.7,796,46.3,5,0,0,0,0,0,1,2.6
2016,"Maruti","Maruti Swift VXI BSIV",37806,3,1,20.4,1197,81.8,5,0,0,0,0,0,1,5.2
2009,"Maruti","Maruti A-Star Vxi",85000,10,1,19,998,66.1,5,0,1,0,0,0,1,1.8
2011,"Tata","Tata Nano Lx BSIV",35000,8,1,25.4,624,37.48,4,0,0,0,0,0,1,1.6
2015,"Ford","Ford Figo Titanium Diesel",72035,4,1,25.5,1498,99,5,0,0,0,1,0,0,2.5
2011,"Fiat","Fiat Linea Emotion",48500,8,1,16,1368,90,5,0,0,0,0,0,1,2.5
2017,"Ford","Ford Figo Aspire 1.2 Ti-VCT Trend",28854,2,1,18.16,1196,86.8,5,0,0,0,0,0,1,6.7
2005,"Maruti","Maruti Baleno LXI",92450,14,1,15.4,1590,94,5,0,0,0,0,0,1,1.2
2016,"BMW","BMW 3 Series 320d Luxury Line",14351,3,0,18.88,1995,184,5,0,0,0,1,0,0,35.55
2017,"Chevrolet","Chevrolet Cruze LTZ",51087,2,1,17.9,1998,163.7,5,0,0,0,1,0,0,7.75
2005,"Mahindra","Mahindra Scorpio 2.6 DX",50000,14,1,12.7,2609,116.6,8,0,0,0,1,0,0,1.94
2016,"Tata","Tata Indica V2 eLS",73000,3,1,25,1396,69,5,0,0,0,1,0,0,2.2
2011,"Chevrolet","Chevrolet Cruze LTZ AT",60000,8,0,18.1,1991,147.9,4,0,0,0,1,0,0,3.8
2016,"Toyota","Toyota Innova 2.5 V Diesel 8-seater",50000,3,1,12.8,2494,102,8,0,0,0,1,0,0,15.65
2018,"Mercedes-Benz","Mercedes-Benz New C-Class C 220d Avantgarde Edition C",36797,1,0,19.27,2143,167.62,5,0,0,0,1,0,0,39.47
2011,"Maruti","Maruti Ritz VXi",50000,8,1,18.5,1197,85.8,5,1,0,0,0,0,1,1.5
2013,"Toyota","Toyota Innova 2.5 GX (Diesel) 8 Seater BS IV",94000,6,1,12.8,2494,102,8,0,0,0,1,0,0,8.85
2013,"Toyota","Toyota Fortuner 4x4 MT",74000,6,1,12.55,2982,168.5,7,1,0,0,1,0,0,17.9
2014,"Hyundai","Hyundai i10 Sportz AT",41016,5,0,16.95,1197,78.9,5,1,0,0,0,0,1,5.08
2012,"Hyundai","Hyundai Verna 1.6 SX",67000,7,1,22.32,1582,126.32,5,0,0,0,1,0,0,6.25
2015,"Audi","Audi Q3 2012-2015 35 TDI Quattro Premium Plus",76927,4,0,15.73,1968,174.33,5,0,0,0,1,0,0,22.75
2010,"Chevrolet","Chevrolet Beat LS",17088,9,1,18.6,1199,79.4,5,0,0,0,0,0,1,1.46
2007,"Ford","Ford Fiesta 1.4 Duratorq ZXI",112808,12,1,17.8,1399,68,5,1,0,0,1,0,0,2.05
2014,"Ford","Ford Figo Diesel EXI",74980,5,1,20,1399,68,5,0,0,0,1,0,0,4.08
2014,"Maruti","Maruti Celerio VXI AT",44600,5,0,23.1,998,67.04,5,0,0,0,0,0,1,4.55
2013,"Mercedes-Benz","Mercedes-Benz A Class A180 CDI",37000,6,0,20,2143,107.3,5,0,0,0,1,0,0,14
2016,"Hyundai","Hyundai Creta 1.6 SX",21000,3,1,15.8,1591,121.3,5,0,0,0,0,0,1,10.9
2010,"Maruti","Maruti Wagon R VXI BS IV",81245,9,1,18.9,998,67.1,5,0,0,0,0,0,1,2.45
2013,"Mercedes-Benz","Mercedes-Benz E-Class 2009-2013 E 220 CDI Avantgarde",70000,6,0,10,2148,170,5,0,0,0,1,0,0,15.8
2017,"Ford","Ford EcoSport 1.5 Ti VCT MT Titanium BE",4018,2,1,18.88,1499,110.4,5,0,0,0,0,0,1,8.25
2013,"Renault","Renault Koleos 2.0 Diesel",70000,6,0,13.73,1995,148,5,1,0,0,1,0,0,8.5
2016,"Mahindra","Mahindra XUV500 W10 2WD",56532,3,1,16,2179,140,7,0,0,0,1,0,0,15.54
2013,"Maruti","Maruti Omni E 8 Str STD",26875,6,1,16.8,796,34.2,8,0,0,0,0,0,1,2.35
2015,"Maruti","Maruti Wagon R VXI",72599,4,1,22.5,998,67.04,5,0,0,0,0,0,1,4.32
2008,"Ford","Ford Endeavour XLT TDCi 4X2",205000,11,1,13.1,2499,141,7,1,0,0,1,0,0,3.9
2011,"Hyundai","Hyundai Verna 1.6 SX",98000,8,1,22.32,1582,126.32,5,1,0,0,1,0,0,5.2
2018,"Hyundai","Hyundai i20 Magna 1.2",19500,1,1,18.6,1197,81.83,5,0,0,0,0,0,1,5.85
2013,"Maruti","Maruti Ertiga ZXI",68000,6,1,16.02,1373,93.7,7,1,0,0,0,0,1,6.25
2019,"Mahindra","Mahindra XUV500 W9 AT",19654,0,0,14,2179,155,7,0,0,0,1,0,0,17.63
2017,"Maruti","Maruti SX4 S Cross DDiS 200 Zeta",26000,2,1,23.65,1248,88.5,5,0,0,0,1,0,0,9.75
2015,"Mercedes-Benz","Mercedes-Benz SLK-Class SLK 350",10000,4,0,18.1,3498,306,2,0,0,0,0,0,1,55
2011,"Volkswagen","Volkswagen Polo Diesel Comfortline 1.2L",75020,8,1,22.07,1199,73.9,5,0,0,0,1,0,0,4.1
2011,"Toyota","Toyota Fortuner 4x4 MT",157000,8,1,12.55,2982,168.5,7,0,0,0,1,0,0,11.99
2017,"Mahindra","Mahindra XUV500 W10 2WD",43773,2,1,16,2179,140,7,0,0,0,1,0,0,13.54
2016,"Mercedes-Benz","Mercedes-Benz GLE 250d",21000,3,0,17.9,2143,201.15,5,0,0,0,1,0,0,56
2016,"Honda","Honda Jazz 1.2 VX i VTEC",23280,3,1,18.7,1199,88.7,5,0,0,0,0,0,1,6.5
2013,"Maruti","Maruti Swift Dzire VDI",88000,6,1,23.4,1248,74,5,0,0,0,1,0,0,4.75
2014,"Hyundai","Hyundai Verna 1.6 SX VTVT",67000,5,1,17.01,1591,121.3,5,0,0,0,0,0,1,5.6
2017,"Ford","Ford Endeavour 3.2 Titanium AT 4X4",59636,2,0,10.91,3198,197,7,0,0,0,1,0,0,29.2
2018,"Hyundai","Hyundai i20 1.2 Asta Option",11000,1,1,18.6,1197,81.83,5,0,0,0,0,0,1,6.35
2013,"Honda","Honda City 1.5 V MT Sunroof",60669,6,1,16.8,1497,116.3,5,0,0,0,0,0,1,4.95
2018,"Honda","Honda Amaze VX Diesel",12000,1,1,27.4,1498,98.6,5,0,0,0,1,0,0,8.5
2013,"Hyundai","Hyundai Verna 1.6 SX VTVT (O)",35000,6,1,17.1,1591,121.3,5,0,0,0,0,0,1,4.5
2015,"Honda","Honda Mobilio S i DTEC",65000,4,1,24.2,1498,98.6,7,0,0,0,1,0,0,5.5
2013,"Maruti","Maruti Ertiga ZDI",39929,6,1,20.77,1248,88.8,7,0,0,0,1,0,0,6.56
2014,"Maruti","Maruti Alto K10 LXI",49000,5,1,24.07,998,67.1,5,0,0,0,0,0,1,2.3
2004,"Toyota","Toyota Qualis FS B2",77757,15,1,13.1,2446,75,10,1,0,0,1,0,0,3.5
2016,"Hyundai","Hyundai i10 Sportz",21456,3,1,20.36,1197,78.9,5,0,0,0,0,0,1,4.55
2009,"Skoda","Skoda Laura 1.9 TDI AT Ambiente",74000,10,0,17,1896,105,5,1,0,0,1,0,0,7.75
2015,"Hyundai","Hyundai i20 Asta Option 1.2",37000,4,1,18.6,1197,81.83,5,1,0,0,0,0,1,5.25
2013,"BMW","BMW 5 Series 2003-2012 530d Highline",108640,6,0,11.5,2993,235,5,0,0,0,1,0,0,23.29
2016,"BMW","BMW 3 Series 320d M Sport",38000,3,0,22.69,1995,190,5,0,0,0,1,0,0,23.99
2010,"Chevrolet","Chevrolet Aveo 1.4 LT ABS BSIV",80000,9,1,14.49,1399,92.7,5,0,0,0,0,0,1,1.79
2011,"Mercedes-Benz","Mercedes-Benz E-Class 2009-2013 E250 CDI Elegance",47000,8,0,14.21,2143,203,5,1,0,0,1,0,0,13.9
2013,"Audi","Audi A6 2011-2015 2.0 TDI Premium Plus",31000,6,0,17.68,1968,174.33,5,0,0,0,1,0,0,18.95
2014,"Maruti","Maruti Wagon R LXI BS IV",40000,5,1,20.51,998,67.04,5,0,0,0,0,0,1,2.49
2016,"Renault","Renault KWID RXT",4152,3,1,25.17,799,53.3,5,0,0,0,0,0,1,3.15
2017,"Volkswagen","Volkswagen Ameo 1.5 TDI Highline",51000,2,1,21.66,1498,108.62,5,0,0,0,1,0,0,6.45
2013,"Volkswagen","Volkswagen Polo Diesel Comfortline 1.2L",55000,6,1,22.07,1199,73.9,5,0,0,0,1,0,0,4.25
2014,"Maruti","Maruti Alto 800 LXI",58500,5,1,22.74,796,47.3,5,0,0,0,0,0,1,2.75
2017,"Hyundai","Hyundai i20 Asta Option 1.2",58620,2,1,18.6,1197,81.83,5,0,0,0,0,0,1,7.14
2012,"Hyundai","Hyundai i20 1.2 Sportz",71172,7,1,17,1197,80,5,0,1,0,0,0,1,3.5
2017,"Hyundai","Hyundai i20 1.4 Asta",12000,2,1,22.54,1396,88.73,5,0,0,0,1,0,0,7.3
2014,"Maruti","Maruti Wagon R LXI Optional",25000,5,1,20.51,998,67.04,5,0,0,0,0,0,1,2.75
2017,"Hyundai","Hyundai i20 1.4 Asta Option",43000,2,1,22.54,1396,88.73,5,1,0,0,1,0,0,8.2
2015,"Volkswagen","Volkswagen Polo GT TSI",57022,4,0,17.21,1197,103.6,5,0,0,0,0,0,1,6.51
2015,"Ford","Ford Figo Diesel Titanium",92000,4,1,20,1399,68.05,5,0,0,0,1,0,0,4.25
2014,"Maruti","Maruti Swift ZXI",33372,5,1,18.6,1197,85.8,5,1,0,0,0,0,1,6.21
2016,"Hyundai","Hyundai Grand i10 CRDi Magna",52625,3,1,24,1120,70,5,0,0,0,1,0,0,4.58
2016,"Mahindra","Mahindra Xylo H4",215000,3,1,14.02,2179,118.3,7,0,0,0,1,0,0,7.5
2014,"Hyundai","Hyundai i10 Magna 1.1",60138,5,1,19.81,1086,68.05,5,0,0,0,0,0,1,4.09
2014,"Skoda","Skoda Octavia Elegance 2.0 TDI AT",84000,5,0,19.3,1968,141,5,0,0,0,1,0,0,10.75
2014,"BMW","BMW X5 2014-2019 xDrive 30d Design Pure Experience 7 Seater",47000,5,0,15.97,2993,258,7,0,0,0,1,0,0,41.5
2014,"Maruti","Maruti Celerio VXI AT",33450,5,0,23.1,998,67.04,5,0,0,0,0,0,1,4.4
2013,"Volkswagen","Volkswagen Vento Diesel Comfortline",125000,6,1,20.54,1598,103.6,5,1,0,0,1,0,0,6.25
2011,"BMW","BMW 3 Series 320d Highline",99606,8,0,16.07,1995,181,5,1,0,0,1,0,0,10.5
2014,"Maruti","Maruti Ertiga ZDI",64000,5,1,20.77,1248,88.8,7,0,0,0,1,0,0,7.25
2013,"Ford","Ford Figo Diesel ZXI",51000,6,1,20,1399,68.05,5,0,0,0,1,0,0,3.2
2014,"Volkswagen","Volkswagen Polo 1.2 MPI Highline",57000,5,1,16.47,1198,74,5,0,0,0,0,0,1,3.95
2009,"Audi","Audi A6 3.0 TDI quattro",48040,10,0,16.77,2967,241.38,5,1,0,0,1,0,0,12.07
2017,"Toyota","Toyota Innova Crysta 2.4 ZX MT",43200,2,1,13.68,2393,147.8,7,0,0,0,1,0,0,18.6
2013,"Hyundai","Hyundai Verna 1.6 CRDi EX AT",66000,6,0,22.32,1582,126.3,5,0,0,0,1,0,0,5.7
2013,"Hyundai","Hyundai Santro Xing GL Plus",31000,6,1,17.92,1086,62.1,5,0,0,0,0,0,1,1.75
2011,"Audi","Audi A4 2.0 TDI",46000,8,0,16.55,1968,147.51,5,1,0,0,1,0,0,10.99
2012,"Audi","Audi A4 2.0 TDI",47346,7,0,16.55,1968,147.51,5,0,0,0,1,0,0,14.5
2009,"Skoda","Skoda Laura 1.9 TDI MT Ambiente",1e+05,10,1,17,1896,105,5,0,0,0,1,0,0,3.11
2015,"Honda","Honda CR-V 2.0L 2WD AT",63856,4,0,13.7,1997,153.86,5,0,0,0,0,0,1,13.96
2015,"Hyundai","Hyundai Verna 1.6 SX CRDi (O)",72996,4,1,22.32,1582,126.32,5,0,0,0,1,0,0,7.11
2014,"Honda","Honda Mobilio RS i DTEC",23000,5,1,24.5,1498,98.6,7,0,0,0,1,0,0,6.9
2018,"Hyundai","Hyundai i20 1.2 Asta Option",15985,1,1,18.6,1197,81.83,5,0,0,0,0,0,1,7.77
2011,"Toyota","Toyota Innova 2.5 G (Diesel) 7 Seater BS IV",98000,8,1,12.8,2494,102,8,1,0,0,1,0,0,5.5
2014,"Hyundai","Hyundai i20 Magna 1.2",70089,5,1,18.6,1197,81.83,5,0,0,0,0,0,1,5.35
2011,"Mahindra","Mahindra Bolero VLX BS IV",99000,8,1,13.6,2523,63,7,1,0,0,1,0,0,4.5
2014,"Volkswagen","Volkswagen Vento 1.5 TDI Comfortline",72000,5,1,20.34,1498,103.2,5,0,0,0,1,0,0,4.75
2015,"Jaguar","Jaguar XF 2.2 Litre Luxury",44194,4,0,16.36,2179,187.7,5,0,0,0,1,0,0,32.8
2005,"Maruti","Maruti Zen LXi - BS III",102000,14,1,17.3,993,60,5,0,0,0,0,0,1,0.7
2018,"Mercedes-Benz","Mercedes-Benz E-Class Facelift",56652,1,0,13,2987,258,5,0,0,0,1,0,0,50.29
2010,"Toyota","Toyota Fortuner 3.0 Diesel",41650,9,1,11.5,2982,171,7,1,0,0,1,0,0,10.99
2015,"Hyundai","Hyundai Grand i10 AT Asta",61717,4,0,18.9,1197,82,5,0,0,0,0,0,1,5.57
2018,"Hyundai","Hyundai Xcent 1.2 CRDi S",25302,1,1,25.4,1186,73.97,5,0,0,0,1,0,0,5.9
2016,"Hyundai","Hyundai Creta 1.6 VTVT S",47016,3,1,15.29,1591,121.3,5,0,0,0,0,0,1,9.43
2010,"Hyundai","Hyundai i10 Sportz",69000,9,1,20.36,1197,78.9,5,0,0,0,0,0,1,2.9
2016,"Honda","Honda Brio S MT",32700,3,1,19.4,1198,86.8,5,0,0,0,0,0,1,3.68
2015,"Toyota","Toyota Fortuner 4x2 AT",101337,4,0,12.55,2982,168.5,7,0,0,0,1,0,0,21.67
2011,"Audi","Audi A4 2.0 TDI Multitronic",59000,8,0,16.55,1968,140,5,0,0,0,1,0,0,12.5
2018,"Toyota","Toyota Innova Crysta 2.8 ZX AT",41736,1,0,11.36,2755,171.5,7,0,0,0,1,0,0,19.92
2014,"Honda","Honda City i DTEC VX",71649,5,1,25.1,1498,98.6,5,0,0,0,1,0,0,6.75
2015,"Honda","Honda City i DTEC VX",80606,4,1,25.1,1498,98.6,5,0,0,0,1,0,0,6.96
2017,"Renault","Renault KWID 1.0 RXT Optional",63262,2,1,21.7,999,67,5,0,0,0,0,0,1,3.25
2018,"Maruti","Maruti Swift DDiS ZDI Plus",5456,1,1,28.4,1248,74,5,0,0,0,1,0,0,8.65
2017,"Maruti","Maruti Celerio VXI Optional AMT",7500,2,0,23.1,998,67.04,5,0,0,0,0,0,1,5
2011,"Mahindra","Mahindra XUV500 W8 2WD",66000,8,1,15.1,2179,140,7,0,0,0,1,0,0,5.5
2010,"Hyundai","Hyundai i10 Magna",66770,9,1,20.36,1197,78.9,5,1,0,0,0,0,1,2.6
2014,"Hyundai","Hyundai i10 Magna 1.1",58472,5,1,19.81,1086,68.05,5,0,0,0,0,0,1,3.41
2011,"Maruti","Maruti Dzire VXI",46687,8,1,22,1197,81.8,5,0,0,0,0,0,1,2.7
2008,"Maruti","Maruti Grand Vitara AT",77000,11,0,9.7,1995,163.5,5,0,0,1,0,0,1,5.5
2012,"Audi","Audi TT 40 TFSI",7000,7,0,14.33,1984,226.6,4,0,0,0,0,0,1,35
2011,"Mercedes-Benz","Mercedes-Benz New C-Class C 200 CGI",48000,8,0,14.74,1991,184,5,1,0,0,0,0,1,9.75
2013,"Nissan","Nissan Sunny 2011-2014 Diesel XV",47000,6,1,21.64,1461,84.8,5,0,0,0,1,0,0,4.25
2015,"Maruti","Maruti Wagon R LXI",51530,4,1,18.9,998,67.1,5,0,0,0,0,0,1,3.2
2014,"Maruti","Maruti Swift Dzire ZDI",25789,5,1,23.4,1248,74,5,1,0,0,1,0,0,6.85
2015,"Honda","Honda Amaze S i-Dtech",48000,4,1,25.8,1498,98.6,5,0,0,0,1,0,0,4.5
2012,"Maruti","Maruti Swift ZDI",52000,7,1,28.4,1248,74,5,0,0,0,1,0,0,3.55
2008,"Mahindra","Mahindra Scorpio LX 2.6 Turbo",131000,11,1,10.5,2609,120,7,0,0,0,1,0,0,3.6
2015,"Mercedes-Benz","Mercedes-Benz E-Class E250 CDI Avantgrade",42076,4,0,13,2143,201.1,5,0,0,0,1,0,0,21.8
2012,"Toyota","Toyota Fortuner 4x2 Manual",76000,7,1,13,2982,168.5,7,1,0,0,1,0,0,13.5
2016,"Datsun","Datsun redi-GO T Option",20487,3,1,22.7,799,53.64,5,0,0,0,0,0,1,2.66
2010,"Honda","Honda City V MT",43000,9,1,16.8,1497,116.3,5,1,0,0,0,0,1,3.75
2018,"Toyota","Toyota Camry Hybrid",17000,1,0,19.16,2494,158.2,5,0,0,0,0,0,1,32
2016,"Honda","Honda City i DTec V",60805,3,1,26,1498,98.6,5,0,0,0,1,0,0,8.07
2012,"Volkswagen","Volkswagen Jetta 2012-2014 2.0L TDI Trendline",58775,7,1,19.33,1968,138.1,5,0,0,0,1,0,0,5.64
2013,"Audi","Audi A6 2011-2015 2.0 TDI",70181,6,0,17.68,1968,174.33,5,0,0,0,1,0,0,23.99
2016,"Maruti","Maruti Ertiga VDI",85827,3,1,20.77,1248,88.76,7,0,0,0,1,0,0,7.5
